'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/ar/equipo.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/ar/historia.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/ar/home.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/ar/productos/fanta-zero.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/ar/productos/fanta.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/ar/social.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/ar/video.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/bo/equipo.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/bo/historia.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/bo/home.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/bo/productos/fanta-zero.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/bo/productos/fanta.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/bo/social.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/bo/videos.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/cl/equipo.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/cl/historia.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/cl/home.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/cl/productos/fanta-zero.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/cl/productos/fanta.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/cl/social.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/cl/videos.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/home', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content/go/fanta/SLBU/es/pe/equipo.html', 'http://www.fantalatinamerica.com/es/home/', 'true'
